GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
locks,net.dapete.locks,WeakKeyReferences,0,110,0,8,0,30,0,11,0,7
locks,net.dapete.locks,ReentrantLocks,0,20,0,0,0,6,0,4,0,4
locks,net.dapete.locks,WeakKeyReference,0,11,0,0,0,4,0,2,0,2
locks,net.dapete.locks,Locks,0,39,0,0,0,12,0,9,0,9
locks,net.dapete.locks,ReadWriteLocks,0,49,0,0,0,15,0,10,0,10
locks,net.dapete.locks,ReentrantReadWriteLocks,0,20,0,0,0,6,0,4,0,4
